"Link","Dam Name","Other Dam Name","NIDID","Inspection Date","Owner Type","Owner Name","NID Height (Ft.)","NID Storage","Primary Purpose","All Purposes","Dam Type","River","City","Distance","County","State","Congressional District","Congressional Rep.","Permitting Authority","Inspection Authority","Enforcement Authority","Eap Last Rev Date","Zoom To"
"","CENTER OF NEW ENGLAND #1","-","RI04438","07/13/2012","Private","COMMERCE PARK PROPERTIES, LLC","8","0","-","-","-","TIOGUE LAKE-TRIB","-","0","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.50501","41.84883"
"","DAVES MARKETPLACE","-","RI04462","08/31/2010","Private","GLENN ALLEN DEVELOPMENT COMPANY, LLC","0","0","-","-","-","TUSCATUCKET BROOK","-","0","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.4207","41.70431"
"","CURRAN UPPER RESERVOIR","J.L. CURRAN RESERVOIR","RI00702","03/09/2010","State","RI DEM PARKS & RECREATION","29","500","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","CLARKE BROOK","CRANSTON","1","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.55107119","41.75054932"
"","KEECH POND","-","RI01301","11/05/2009","Private","PROPERTY OWNER'S ASSOCIATION OF KEECH POND, INC.","15","870","Recreation","Recreation","-","CHEPACHET RIVER","GLOCESTER","2","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.68824006","41.88439945"
"","FRUIT OF THE LOOM","PONTIAC","RI03501","-","Private","PONTIAC ENTERPRISES LTD.","9","216","Other","Other","-","PAWTUXET RIVER","WARWICK","0","KENT","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.47136688","41.72624971"
"","STONE POND","-","RI04073","10/15/2009","Private","FENNER, RICHARD A. & KATHLEEN M., TRUSTEES","8","34","Recreation","Recreation","-","FENNER BROOK","CRANSTON","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.48957059","41.79079436"
"","HOPKINS MILL POND","-","RI01203","-","Local Government","PROVIDENCE WATER SUPPLY BOARD","21","510","Other","Other","-","PONAGANSET RIVER","FOSTER","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.70793915","41.82405092"
"","PRATT","-","RI01705","-","Local Government","CUMBERLAND, TOWN OF","8","100","-","-","-","BLACKSTONE RIVER","CUMBERLAND","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","Y","N","-","-71.40889739","41.91358566"
"","SIMMONS LOWER RESERVOIR","-","RI01607","09/09/2010","Local Government","JOHNSTON, TOWN OF","12","317","Other","Other","-","CEDAR SWAMP BROOK","JOHNSTON","2","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.50913243","41.79114913"
"","ASHVILLE POND","-","RI01404","11/22/2011","Private","HOPKINTON, TOWN OF","10","150","Recreation","Recreation","-","BLUE POND BROOK","HOPKINTON","1","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.75112154","41.49976351"
"","DURFEE HILL WILDLIFE MARSH #2","-","RI04179","08/08/2012","State","RI DEM FISH & WILDLIFE","8","55","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","CADY BROOK","GLOCESTER","-","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.79575345","41.90188982"
"","OCEAN STATE POWER","-","RI04557","09/23/2013","Private","OCEAN STATE POWER & OCEAN STATE POWER II","36","86","Other","Other","-","-","-","0","-","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.60198277","41.98771974"
"","JORDAN POND","CLAYVILLE POND","RI04298","12/20/2011","Local Government","PROVIDENCE WATER SUPPLY BOARD","22","65","Water Supply","Water Supply","-","WESTCONNAUG BROOK","SCITUATE","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.67464445","41.77767943"
"","SNAKESKIN POND","-","RI04161","-","Private","STEERE, BRADLEY L.","25","125","-","-","-","SPRING GROVE BROOK","GLOCESTER","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.65752414","41.92057423"
"","CANADA UPPER POND","-","RI02801","12/19/2011","Local Government","PROVIDENCE, CITY OF","21","144","Other","Other","-","WEST RIVER-TRIB","PROVIDENCE","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.42627722","41.85477826"
"","WATERMAN LAKE","-","RI03103","08/02/2012","Private","CITIZENS FOR THE PRESERVATION OF WATERMAN LAKE, INC.","19","3750","Recreation","Recreation","-","STILLWATER RIVER","SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.57666782","41.87832638"
"","MELVILLE #1","-","RI04552","09/01/2012","Local Government","PORTSMOUTH, TOWN OF","0","0","-","-","-","EAST PASSAGE-TRIB","-","0","NEWPORT","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.27808","41.59242"
"","MT. TOM WILDLIFE MARSH","RI NONAME #3","RI01107","-","Private","MT. TOM CLUB","17","1620","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","WOODY HILL BROOK","EXETER","-","WASHINGTON","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.73459621","41.55828474"
"","EASTON POND SOUTH","-","RI02101","09/14/2005","Local Government","NEWPORT, CITY OF","13","1375","Water Supply","Water Supply","-","BAILEY BROOK","NEWPORT","0","NEWPORT","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.28682711","41.49049376"
"","WYOMING UPPER","-","RI01401","11/29/2011","State","RI DEM FISH & WILDLIFE","15","444","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","WOOD RIVER","HOPKINTON","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.70340729","41.51592255"
"","SPRAGUE LOWER RESERVOIR","LAKE WIONKHEIGE","RI03109","11/23/2009","Private","LAKE WIONKHIEGE IMPROVEMENT ASSOCIATION","19","255","Recreation","Recreation","-","STILLWATER RIVER-TRIB","SMITHFIELD","1","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.5451355","41.88528441"
"","SHOESTRING MILL","-","RI04441","03/30/2011","Local Government","PROVIDENCE WATER SUPPLY BOARD","20","0","-","-","-","BRANDY BROOK","-","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.5826","41.81714"
"","CLARKVILLE POND","-","RI01309","10/19/2009","Private","ABBOTT, JOHN MORTON","14","165","Recreation","Recreation","-","MARY BROWN BROOK","GLOCESTER","10","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.78951266","41.92179874"
"","ARCTIC","FACTORY STREET DAM","RI03802","04/16/2015","Private","NATCO PRODUCTS CORPORATION","27.5","442","Hydroelectric","Hydroelectric","-","SOUTH BRANCH PAWTUXET RIVER","ARCTIC","0","KENT","RI","RI02","James R. Langevin (D)","N","N","N","11/22/2013","-71.5211","41.7067"
"","CAPRON POND","-","RI04325","-","Private","BOEHM, RAYMOND","15","8","Other","Other","-","WOONASQUATUCKET RIVER","SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","Y","N","-","-71.52187352","41.90322117"
"","WINCHECK POND","-","RI01402","05/07/2010","Private","RHODE ISLAND BOY SCOUTS","9","650","Recreation","Recreation","-","MOSCOW BROOK","HOPKINTON","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.76230622","41.52031327"
"","BUCK HILL POND","BUCK HILL MANAGEMENT AREA","RI00310","-","State","RI DEM FISH & WILDLIFE","12","196","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","LEESON BROOK","BURRILLVILLE","-","PROVIDENCE","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.78859709","41.98976515"
"","YAWGOOG POND","-","RI01403","11/22/2011","Private","RHODE ISLAND BOY SCOUTS","17","990","Recreation","Recreation","-","WINCHECK BROOK","HOPKINTON","1","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.78054581","41.5170951"
"","NELSON POND","PARADISE POND","RI01901","05/23/2011","Local Government","NEWPORT, CITY OF","17","230","Water Supply","Water Supply","-","PARADISE BROOK","MIDDLETOWN","0","NEWPORT","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.26276403","41.49134827"
"","GEORGIAVILLE POND","-","RI03108","05/20/2010","-","SMITHFIELD, TOWN OF (OWNER)","35","1950","Recreation","Recreation","-","WOONASQUATUCKET RIVER","SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.50653076","41.89309309"
"","WOOD RIVER JUNCTION","MEADOWBROOK POND","RI02902","-","Private","SNYDER, THEODORE & VIRGINIA CARDOZO","189","164850","Recreation","Recreation","-","MEADOW BROOK","RICHMOND","3","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.69108577","41.43787383"
"","GARDINER POND","-","RI01902","05/23/2011","Local Government","NEWPORT, CITY OF","20","1350","Water Supply","Water Supply","-","MAIDFORD BROOK","MIDDLETOWN","0","NEWPORT","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.25479894","41.48837662"
"","BARDEN RESERVOIR","-","RI03003","-","Local Government","PROVIDENCE WATER SUPPLY BOARD","12","1935","Water Supply","Water Supply","-","PONAGANSET RIVER","SCITUATE","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.67375184","41.79198073"
