"Link","Dam Name","Other Dam Name","NIDID","Inspection Date","Owner Type","Owner Name","NID Height (Ft.)","NID Storage","Primary Purpose","All Purposes","Dam Type","River","City","Distance","County","State","Congressional District","Congressional Rep.","Permitting Authority","Inspection Authority","Enforcement Authority","Eap Last Rev Date","Zoom To"
"","JAMESTOWN LOWER RESERVOIR","WATSON POND","RI04214","08/07/2012","Local Government","JAMESTOWN, TOWN OF","12","24","Water Supply","Water Supply","-","JAMESTOWN BROOK","JAMESTOWN","0","NEWPORT","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.38166812","41.51107408"
"","GREYSTONE","-","RI01604","-","Private","WORCESTER COMPANY","20","393","-","-","-","WOONASQUATUCKET RIVER","NORTH PROVIDENCE/JOHNSTON","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.49243169","41.86607357"
"","RAWSON POND","-","RI00804","-","Private","MCHOUL, DONALD","20","200","Recreation","Recreation","-","ABBOTT RUN","CUMBERLAND","1","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.38718413","41.96382906"
"","GREAT SWAMP GOOSE MARSH","-","RI03202","-","State","RIDEM FISH ANDWILDLIFE","12","800","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","PAWCATUCK RIVER","SOUTH KINGSTOWN","0","WASHINGTON","RI","RI02","James R. Langevin (D)","N","N","N","-","-71.60341698","41.45289385"
"","WALLUM LAKE","-","RI00301","09/25/2003","-","RI HILLCROFT, INC.","10","10000","Recreation","Recreation","-","CLEAR RIVER","BURRILLVILLE","4","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.76204","42.00071"
"","LAKE WASHINGTON","CRANBERRY BOG POND","RI01311","11/05/2009","Private","LAKE WASHINGTON NEIGHBORHOOD ASSOCIATION","6","85","Recreation","Recreation","-","MARY BROWN BROOK","GLOCESTER","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.75922396","41.91394039"
"","CARR POND","GILBERT STUART POND","RI02303","08/07/2012","Private","GILBERT STUART MEMORIAL, INC.","10","190","Recreation","Recreation","-","MATTATUXET RIVER","NORTH KINGSTOWN","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.44455717","41.52027893"
"","DEXTER FARM POND","-","RI04226","12/08/2011","Private","DEXTER, HENRY","10.5","5","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Earth","POCASSET RIVER-TRIB","JOHNSTON","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.55164332","41.83803936"
"","WENSCOTT RESERVOIR","TWIN RIVERS","RI02401","11/24/2009","Local Government","NORTH PROVIDENCE, TOWN OF","12","380","Recreation","Recreation","-","WEST RIVER","NORTH PROVIDENCE","1","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.46356968","41.87181092"
"","WATERMAN POND","-","RI00606","-","Private","FERGUSON, J. CECIL","21","462","Recreation","Recreation","-","WARWICK BROOK","COVENTRY","0","KENT","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.72988893","41.71139909"
"","SLOCUM WOODS","-","RI04486","12/19/2011","Private","SLOCUM WOODS HOMEOWNER'S ASSOCIATION","0","0","Irrigation","Irrigation","-","CHIPUXET RIVER-TRIB","-","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.51072","41.52396"
"","HORSESHOE FALLS","SHANNOCK","RI02901","-","Private","RUSSO, MIKE","10","60","Other","Other","-","PAWCATUCK RIVER","RICHMOND","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.63639835","41.44766234"
"","TEN MILE RESERVATION","-","RI02601","-","Not Listed","-","13","207","Recreation","Recreation","-","TEN MILE RIVER","PAWTUCKET","1","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","Y","N","-","-71.34090419","41.87455749"
"","ROCKY BROOK RESERVOIR","-","RI04384","-","Private","SOUTH KINGSTOWN, TOWN OF","10","0","Other","Other","Earth","ROCKY BROOK","SOUTH KINGSTOWN","1","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.50694","41.4553"
"","HOLLEY LANE POND","-","RI04414","07/30/2010","Private","H.S. REALTY CO.","8","0","-","-","-","IRON ROCK BROOK","-","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.47858","42.0037"
"","LOCUSTVILLE POND","-","RI01408","06/24/2010","Private","URE, GEORGIA","18","625","Hydroelectric","Hydroelectric, Recreation","-","BRUSHY BROOK","HOPKINTON","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.71644591","41.50851442"
"","ROSS POND","-","RI04026","11/18/2011","Private","GEORGE E.BINNS LIVING TRUST & NANCY F. BINNS, TRUSTEE","6","12","Recreation","Recreation","-","CLEAR RIVER-TRIB","BURRILLVILLE","1","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.71854395","41.96374895"
"","GALE FARM POND UPPER","SEN. GALE UPPER POND","RI04106","05/24/2010","Private","GRANDCHAMP, RAYMOND F.","10.5","21","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Earth","MASKERCHUGG RIVER-WEST BRANCH","EAST GREENWICH","0","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.47932436","41.65644835"
"","SILVER SPRING LAKE","-","RI02301","01/26/2012","State","RI DEM FISH & WILDLIFE","12","126","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","MATTATUXET RIVER","NORTH KINGSTOWN","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.46931462","41.5380516"
"","WARREN RESERVOIR UPPER","-","RI03402","07/20/2012","Local Government","BRISTOL COUNTY WATER AUTHORITY","14","140","Water Supply","Water Supply","-","KICKAMUIT RIVER","WARREN","0","BRISTOL","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.25926208","41.73991775"
"","MANVILLE","-","RI00809","-","Local Government","CUMBERLAND, TOWN OF","20","280","-","-","Masonry","BLACKSTONE RIVER","CUMBERLAND","2","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","Y","N","-","-71.4706955","41.9714851"
"","STATE STREET POND","-","RI04329","05/05/2004","Local Government","BRISTOL, TOWN OF","8","7","Flood Control","Flood Control","-","UNNAMED STREAM","BRISTOL","0","BRISTOL","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.26657868","41.67212675"
"","PONAGANSET RESERVOIR","-","RI01304","11/05/2009","Local Government","PROVIDENCE WATER SUPPLY BOARD","26","3657","Water Supply","Water Supply","-","PONAGANSET RIVER","GLOCESTER","3","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.74193568","41.86777117"
"","SUCKER POND","-","RI00305","05/14/2010","Private","BLISS GOLF INVESTORS LLC","14","330","-","-","-","SUCKER BROOK","BURRILLVILLE","3","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.67079928","41.93589784"
"","METCALF WILDLIFE MARSH","RI NONAME #2","RI01106","06/24/2010","Private","SCOBCO ASSOCIATES","18","400","Recreation","Recreation","-","LOCKE BROOK","EXETER","-","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.61003","41.55725"
"","NICHOLS POND","-","RI00309","05/03/2010","Private","ROSSI, DAVID W. & LINDA M.","11","130","Recreation","Recreation","-","TARKILN BROOK","NORTH SMITHFIELD","3","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.599678","41.95553211"
"","SPEAR POND","-","RI04139","-","Private","COYLE, MICHAEL","7.69","35","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Earth","HEMLOCK BROOK","FOSTER","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.72848512","41.80401991"
"","PEARCE POND","-","RI04047","06/07/2010","Private","NINE HOWARD DEVELOPMENT, LLC","10","15","Other","Other","-","BLACK ROCK BROOK","COVENTRY","0","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.53926","41.72366"
"","LIMEROCK RESERVOIR","-","RI04243","07/01/2008","Local Government","LINCOLN, TOWN OF","28","210","Other","Other","-","MOSHASSUCK RIVER","LINCOLN","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.46809384","41.92950059"
"","CARR POND","-","RI03703","-","State","RI WATER RESOURCES BOARD","23","350","Recreation","Recreation","-","CARR RIVER","WEST GREENWICH","0","KENT","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.55819707","41.63066101"
"","WOONSOCKET RESERVOIR # 1","-","RI04262","04/06/2015","Local Government","WOONSOCKET WATER DIVISION","47","145","Water Supply","Water Supply","-","CROOKFALL BROOK","NORTH SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.48897549","41.97651289"
"","BUTTERFLY POND","-","RI04235","06/15/2010","Local Government","LINCOLN, TOWN OF","8","26","Other","Other","-","MOSHASSUCK RIVER","LINCOLN","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.43215942","41.90711216"
"","UPPER POND","BREEZY LAKE","RI00609","11/17/2011","Local Government","COVENTRY, TOWN OF","13","50","Recreation","Recreation","-","NORTHRUP BROOK","COVENTRY","1","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.5537109","41.70465471"
"","CREAMER","-","RI04534","09/29/2010","Private","DANIEL T. CHURCH ESTATE HOMEOWNERS' ASSOCIATION","0","0","-","-","-","SAKONNET RIVER-TRIB","-","0","NEWPORT","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.20396","41.63739"
"","NONQUIT POND","-","RI03301","11/15/2010","Local Government","NEWPORT, CITY OF","8","1950","Water Supply","Water Supply","-","BORDEN BROOK","TIVERTON","1","NEWPORT","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.19700621","41.55345918"
"","PINE SWAMP RESERVOIR #1","-","RI04301","12/20/2011","Local Government","PROVIDENCE WATER SUPPLY BOARD","4","30","Water Supply","Water Supply","-","BRANDY BROOK","SCITUATE","0","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.57396702","41.81732555"
"","TARBOX POND","-","RI03701","-","State","RI WATER RESOURCES BOARD","15","340","Recreation","Recreation","-","CARR RIVER","WEST GREENWICH","0","KENT","RI","RI02","James R. Langevin (D)","N","Y","N","-","-71.57351685","41.63638304"
"","WOONSOCKET RESERVOIR # 3","-","RI02505","07/19/2012","Local Government","WOONSOCKET WATER DIVISION","28","4740","Water Supply","Water Supply","-","CROOKFALL BROOK","NORTH SMITHFIELD","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","Y","Y","Y","-","-71.49140928","41.9428978"
"","MILL POND","ANTHONY MILL POND","RI00607","-","Private","CONCORDIA MANUFACTURING LLC","16","230","Other","Other","-","PAWTUXET RIVER-SOUTH BRANCH","COVENTRY","0","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.54697422","41.69553758"
"","MOSWANSICUT POND","-","RI03002","-","Local Government","PROVIDENCE WATER SUPPLY BOARD","35","4320","Water Supply","Water Supply","-","MOSWANSICUT BROOK","SCITUATE","1","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.58254239","41.84088895"
"","SHADY LEA MILL","-","RI04500","03/17/2009","Private","REISERT REALTY CORPORATION","0","0","-","-","-","MATTATUXET RIVER","-","0","WASHINGTON","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.46357","41.53373"
"","BLACK ROCK RESERVOIR","-","RI00610","-","Private","HOLIDAY PRODUCTS INC.","14","244","Recreation","Recreation","-","BLACKROCK BROOK","WEST WARWICK","1","KENT","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.55370333","41.72004318"
"","GAINER MEMORIAL","SCITUATE RESERVOIR","RI03001","-","Local Government","PROVIDENCE WATER SUPPLY BOARD","15","5750","Water Supply","Water Supply","-","PAWTUXET RIVER-NORTH BRANCH","SCITUATE","2","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.58486176","41.75326919"
"","WOONSOCKET DIKES 1 & 2","-","RI03902","07/16/2012","Federal","CENAE","9","300","Flood Control","Flood Control","Earth","BLACKSTONE","WOONSOCKET","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","N","N","-","-71.52913889","42.010075"
"","PASCOAG RESERVOIR UPPER","ECHO LAKE","RI00304","05/14/2010","Private","CONLEY, COLLEEN","27","9000","Recreation","Recreation","-","BRANDY BROOK","BURRILLVILLE","1","PROVIDENCE","RI","RI02","James R. Langevin (D)","Y","Y","Y","-","-71.70506286","41.95061489"
"","WOONSOCKET FALLS DAM","-","RI03902","07/16/2012","Federal","CENAE","24","300","Flood Control","Flood Control","-","BLACKSTONE","WOONSOCKET","0","PROVIDENCE","RI","RI01","David N. Cicilline (D)","N","N","N","-","-71.5183","41.9994"
