"Link","Dam Name","Other Dam Name","NIDID","Inspection Date","Owner Type","Owner Name","NID Height (Ft.)","NID Storage","Primary Purpose","All Purposes","Dam Type","River","City","Distance","County","State","Congressional District","Congressional Rep.","Permitting Authority","Inspection Authority","Enforcement Authority","Eap Last Rev Date","Lat","Lon"
"","LOWER STONEVILLE POND DAM","FERC P-2801","MA00126","10/28/2014","Local Government","AUBURN WATER DISTRICT","15.1","572","Recreation","Recreation","Concrete","KETTLE BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","06/01/2007","-71.8454758","42.21841295"
"","HAWKES POND OUTLET DAM","FERC P-2801","MA00245","04/27/2015","Local Government","CITY OF LYNN, LYNN WATER AND SEWER COMMISSION","26","1250","Water Supply","Water Supply","Earth","SAUGUS RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","07/29/2013","-71.0183202","42.49881075"
"","MILL POND DAM","ROUTE 28 DAM","MA00027","07/25/2014","State","DOT - DEPT. OF TRANSPORTATION","16.5","1768","Recreation","Recreation","Earth","AGAWAM RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","06/01/2011","-70.67623722","41.76279533"
"","BELL POND DAM","FERC P-2801","MA00148","04/09/2012","Local Government","CITY OF WORCESTER, DEPARTMENT OF PUBLIC WORKS & PARKS","0","0","Recreation","Recreation","Earth","KETTLE POND","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.78341604","42.27075053"
"","WALDEN POND EAST END DAM","FERC P-2801","MA00235","04/27/2015","Local Government","CITY OF LYNN, LYNN WATER AND SEWER COMMISSION","8","5500","Water Supply","Water Supply","Earth","SAUGUS RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","07/29/2013","-70.97937237","42.49325876"
"","EAST HEAD BOG DAM #1","FERC P-2801","MA00269","-","Private","-","7.5","354","-","-","-","WANKINCO RIVER","-","0","-","MA","MA09","William R. Keating (D)","N","N","N","-","-70.69291235","41.8365343"
"","STEVENS PAPER CO. LOWER DAM","FERC P-2801","MA00074","07/09/2009","Private","THE MILL AT CRANE POND","30","250","Water Supply","Water Supply","-","LITTLE RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.76626495","42.11123362"
"","RED DAM","FERC P-2801","MA00170","11/20/2012","Local Government","TOWN OF WRENTHAM, DEPARTMENT OF PUBLIC WOKS","10","2260","Recreation","Recreation","Earth","EAGLE BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.352095","42.069819"
"","GLENDALE","-","MA00021","07/16/2013","Private","LITTLEVILLE POWER COMPANY, INC.","30","87","Hydroelectric","Hydroelectric","Gravity","HOUSATONIC RIVER","GREAT BARRINGTON, MA","3","BERKSHIRE","MA","MA01","Richard E. Neal (D)","N","N","N","12/22/2014","-73.3513","42.2789"
"","WIELOCH POND DAM","FERC P-2801","MA00218","12/01/2011","Private","RAYMOND AND GENEVIEVE REALTY TRUST","14","45","Recreation","Recreation","-","TRIBUTARY OF QUINEBAUG RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-71.93483","42.03015"
"","TUXBURY POND DAM","FERC P-2801","MA00151","08/12/2010","Local Government","TOWN OF AMESBURY, DEPT OF PUBLIC WORKS","10","500","Water Supply","Water Supply","Earth","POW-WOW RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-70.98391184","42.86218757"
"","PATCH RESERVOIR DAM","FERC P-2801","MA00122","11/13/2014","Local Government","CITY OF WORCESTER, DEPARTMENT OF PUBLIC WORKS & PARKS","8.7","229","Recreation","Recreation","-","TATNUCK BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","09/01/2007","-71.85135439","42.26849844"
"","OTIS WOODLANDS CLUB DAM","FERC P-2801","MA00306","05/25/2011","Private","OTIS WOOD LANDS CLUB INC.","21.6","336","Recreation","Recreation","Earth","BENTON BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.09382","42.184733"
"","YOKUM POND DAM","FERC P-2801","MA00208","06/30/2013","Private","370 BRONSON ROAD LLC","9","519","Recreation","Recreation","Earth","MORLEY BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.125063","42.307817"
"","ABBEY LAKE DAM","FERC P-2801","MA00305","04/21/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","39.5","889","Flood Control","Flood Control, Recreation, Fish and Wildlife Pond","Earth","BUCK RIVER","SANDISFIELD","-","BERKSHIRE","MA","MA01","Richard E. Neal (D)","Y","Y","Y","06/01/2013","-73.15175439","42.13445119"
"","BARE HILL POND DAM","FERC P-2801","MA00822","10/21/2009","Local Government","TOWN OF HARVARD, WATER DEPARTMENT","8.5","4000","Recreation","Recreation","Earth","TRIBUTARY OF BOWERS BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.5955321","42.49725567"
"","MOREY'S BRIDGE DAM","FERC P-2801","MA00923","05/21/2015","State","DCR - DEPT. OF CONSERVATION & RECREATION","12","5700","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","MILL RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","05/18/2015","-71.10791198","41.93402761"
"","CARPENTER RESERVOIR DAM","FERC P-2801","MA00893","11/21/2011","Private","WHITINSVILLE WATER COMPANY","32","2380","Water Supply","Water Supply","-","CASEY BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.69030363","42.12494723"
"","SYLVIA PLACE POND DAM","FERC P-2801","MA00393","09/02/2015","Private","WILDLANDS TRUST, INC.","20","50","Fish and Wildlife Pond","Fish and Wildlife Pond","Earth","TRIBUTARY OF FURNACE BROOK","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.749721","41.97926031"
"","THIRTY ACRE POND DAM","FERC P-2801","MA00423","11/14/2013","Local Government","CITY OF BROCKTON, OFFICE OF THE MAYOR","13","230","Flood Control","Flood Control, Recreation","-","SALISBURY BROOK AND SALISBURY PLAIN RIVER","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","09/09/2009","-71.046531","42.093613"
"","FORT MEADOW RESERVOIR DAM","FERC P-2801","MA00449","08/07/2015","Local Government","CITY OF MARLBOROUGH, DEPARTMENT OF PUBLIC WORKS","30","4800","Recreation","Recreation","Earth","ASSABET RIVER","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","06/01/2012","-71.53115562","42.37387476"
"","LOST LAKE DAM","FERC P-2801","MA00808","06/18/2013","Local Government","TOWN OF GROTON, HIGHWAY DEPARTMENT","10","1960","Recreation","Recreation","-","MARTIN'S POND BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","11/01/2012","-71.51824503","42.60069959"
"","POWDERMILL BROOK DAM","FERC P-2801","MA00605","10/30/2014","Local Government","CITY OF WESTFIELD, PL-566/FLOOD CONTROL, FLOOD COMMISSION","48","1160","Flood Control","Flood Control","Earth","POWDERMILL BROOK","WESTFIELD","-","HAMPDEN","MA","MA01","Richard E. Neal (D)","Y","Y","Y","12/01/2006","-72.74608616","42.14526366"
"","LEE POND DAM","FERC P-2801","MA00891","09/13/2013","Private","CHARLES & LINDA VACANTI","26","189","Recreation","Recreation","Earth","EMERSON BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.64482","42.04735"
"","LEAPING WELL RESERVOIR DAM","FERC P-2801","MA00586","07/10/2014","Local Government","TOWN OF S. HADLEY, FIRE DISTRICT NO. 1","29","140","Recreation","Recreation","Earth","LEAPING WELL BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","01/01/2013","-72.564118","42.233846"
"","WORONOCO - SOUTH DAM","WORONOCO MILLS DAM","MA00737","07/16/2013","Private","WORONOCO HYDRO, LLC","25","1830","Hydroelectric","Hydroelectric, Water Supply","-","WESTFIELD RIVER","WESTFIELD","8","HAMPDEN","MA","MA01","Richard E. Neal (D)","N","N","N","03/15/2008","-72.8294","42.165"
"","ROBBINS RESERVOIR DAM AT RT. #106","FERC P-2801","MA00471","05/25/2012","Private","UNKNOWN","12","1322","Irrigation","Irrigation","Earth","TRIBUTARY OF WINNEXET RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.89515821","41.99613128"
"","ROBERTS MEADOW LOWER RESERVOIR DAM","FERC P-2801","MA00753","10/10/2014","Local Government","CITY OF NORTHAMPTON, DEPARTMENT OF PUBLIC WORKS","23","38.6","Recreation","Recreation","Earth","ROBERTS MEADOW BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","09/01/2012","-72.70774837","42.3538968"
"","HYCREST FARM POND DAM","FERC P-2801","MA00673","11/25/2014","Private","HYCREST FARM REALTY TRUST","11","610","Other","Other","Earth","ROCKY BROOK INTO STILLWATER RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.805259","42.476516"
"","STODDARD POND DAM","FERC P-2801","MA00635","05/06/2014","Private","MILL GLEN POND CAMPERS ASSOCIATION","8","207","Recreation","Recreation","Earth","BEAMAN BROOK/OTTER RIVER","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-72.05982092","42.6298818"
"","BURRAGE POND-LOWER RESERVOIR DIKE A","FERC P-2801","MA00472","01/22/2010","State","DFG - DEPT. OF FISH AND GAME","7.8","336","Irrigation","Irrigation","Earth","TRIBUTARY OF WINNETUXET RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.88088","42.013037"
"","KETTLE BROOK RESERVOIR #3 DAM","FERC P-2801","MA00978","09/24/2015","Local Government","CITY OF WORCESTER, DEPARTMENT OF PUBLIC WORKS & PARKS","38","680","Water Supply","Water Supply","Earth","KETTLE BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","09/01/2007","-71.90805301","42.2818281"
"","TEN MILE RIVER DAM","FERC P-2801","MA00861","-","Private","R.O.C. REALTY CORP.","8","66","Recreation","Water Supply, Recreation","-","TEN MILE RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.32767052","41.89566885"
"","QUABBIN GOODNOUGH DIKE","FERC P-2801","MA00590","08/04/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","135","1810000","Water Supply","Water Supply","Earth","BEAVER BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","02/01/2013","-72.29844305","42.29810137"
"","UPPER TUCKER POND SOUTH DAM","FERC P-2801","MA00660","05/17/2012","Private","UNKNOWN","21.7","242","Recreation","Recreation","-","TRIBUTARY OF MUMFORD RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.750464","42.099329"
"","COCHRAN DAM","FERC P-2801","MA02572","05/23/2006","State","DCR - DEPT. OF CONSERVATION & RECREATION","10","960","Flood Control","Flood Control","-","CHARLES RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.263","42.258585"
"","SMELT BROOK DAM","FERC P-2801","MA01292","06/26/2014","Local Government","WEYMOUTH/ BRAINTREE REGIONAL RECREATION - CONSERVATION DISTRICT","15","540","Other","Other","Gravity","SMELT BROOK","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","11/01/2013","-70.97549114","42.20799543"
"","MCKINSTRY POND DAM","FERC P-2801","MA01953","06/17/2014","Local Government","TOWN OF OXFORD, BOARD OF SELECTMEN","6.5","63","Recreation","Recreation","-","BARBERS HOLLOW BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.867666","42.126523"
"","MEMORIAL POND DAM","FERC P-2801","MA02483","05/25/2011","Local Government","TOWN OF WALPOLE, DEPARTMENT OF PUBLIC WORKS","11","140","Recreation","Recreation","Earth","DIAMOND BROOK","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-71.249107","42.146102"
"","MIDDLE POND DAM #3","-","MA03089","05/13/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","10.5","380","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","THOMPSON BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-70.99219355","41.8685914"
"","MOOSE HILL POND DAM","FERC P-2801","MA02583","04/28/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","71","2410","Flood Control","Flood Control, Recreation, Fish and Wildlife Pond","Earth","SHAW BROOK","SPENCER","-","WORCESTER","MA","MA02","James P. McGovern (D)","Y","Y","Y","06/01/2013","-71.959035","42.271692"
"","LYNN WATERWAYS DAM","FERC P-2801","MA01135","05/27/2005","Local Government","CITY OF LYNN, LYNN WATER AND SEWER COMMISSION","12","398","Water Supply","Water Supply","-","SAUGUS RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.03815233","42.51371308"
"","SPRING POND DAM","-","MA03016","05/11/2015","Local Government","TOWN OF SAUGUS, BOARD OF SELECTMEN","6","37","Recreation","Recreation","Earth","BENNETTS BROOK","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.051656","42.478099"
"","LACKEY POND DAM","FERC P-2801","MA01171","11/21/2011","State","DFG - DEPT. OF FISH AND GAME","15.1","925","Fish and Wildlife Pond","Fish and Wildlife Pond","-","MUMFORD RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.689039","42.103203"
"","STEARNS MILLPOND DAM","FERC P-2801","MA01132","05/02/2014","Local Government","TOWN OF SUDBURY","10","191","Other","Other","-","HOP BROOK","-","0","-","MA","MA05","Katherine M. Clark (D)","Y","Y","Y","-","-71.449341","42.387592"
"","MUZZY MEADOW DAM","FERC P-2801","MA02379","06/11/2015","Local Government","TOWN OF SPENCER","13","76","Recreation","Recreation","Earth","UNNAMED TRIBUTARY SEVEN MILE RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","07/01/2012","-71.99160279","42.24176834"
"","RUSSELL MILL POND DAM","FERC P-2801","MA01219","05/06/2014","Private","THE HISTORIC MILLSTREAM FOUNDATION, INC.","18","100","Recreation","Recreation","-","POND BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.331512","42.578058"
"","ELGINWOOD POND DAM","FERC P-2801","MA01141","04/17/2014","Local Government","CITY OF PEABODY, DEPARTMENT OF PUBLIC WORKS","7","54","Recreation","Recreation","Earth","NORRIS BROOK","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.005306","42.549581"
"","MILL POND DAM","FERC P-2801","MA01149","06/19/2013","State","DCR - DEPT. OF CONSERVATION & RECREATION","16","442","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","-","TRIBUTARY OF BEAVER BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.49766787","42.53490396"
"","SUDBURY RIVER DAM","FERC P-2801","MA01106","10/26/2010","Local Government","TOWN OF ASHLAND","7","113","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","SUDBURY RIVER","-","0","-","MA","MA05","Katherine M. Clark (D)","Y","Y","Y","-","-71.478829","42.262313"
"","O'BRIEN POND DAM","FERC P-2801","MA02710","06/19/2013","Private","UNKNOWN","13","28.8","Recreation","Recreation","Earth","FLAT BROOK - TRIB TO WARE","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.273175","42.263815"
"","NORTHBOROUGH RESERVOIR DAM","FERC P-2801","MA01234","12/20/2011","Local Government","TOWN OF NORTHBOROUGH, WATER AND SEWER DEPARTMENT","15","54.3","Water Supply","Water Supply","Earth","RAWSON HILL BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.691193","42.328653"
"","MIDDLE POND DAM","FERC P-2801","MA02011","-","Local Government","TOWN OF STURBRIDGE, BOARD OF SELECTMEN","14","50.8","-","-","-","HAMANT BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.09483622","42.09495439"
"","BUFFUMVILLE POND DAM","FERC P-2801","MA00992","-","Private","JAUNITA A. MOSCOFFIAN","16.5","190","Other","Other","-","LITTLE RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.897743","42.116389"
"","UPPER RESERVOIR DAM","FERC P-2801","MA01256","10/05/2011","Local Government","ASHFIELD WATER DISTRICT","17","24","Water Supply","Water Supply","Earth","SMITH BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.82186647","42.54042742"
"","LAKE PLEASANT DAM","FERC P-2801","MA02673","11/23/2010","Local Government","TOWN OF MONTAGUE, TURNER FALLS FIRE DISTRICT","3.4","138","Water Supply","Water Supply","Earth","POND BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.515633","42.557698"
"","MIDDLETON POND OUTLET DAM","FERC P-2801","MA00295","04/13/2009","Local Government","TOWN OF DANVERS, BOARD OF SELECTMEN","11","1300","Water Supply","Water Supply","Earth","TRIBUTARY OF IPSWICH RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.01993014","42.59449997"
"","UPPER ROOT RESERVOIR","-","MA00019","08/20/2014","Local Government","TOWN OF LENOX, BOARD OF SELECTMEN","36","380","Water Supply","Water Supply","Earth","LENOX MOUNTAIN BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","12/19/2013","-73.32555103","42.37002848"
"","ALLEN DAM","FERC P-2801","MA00127","06/25/2009","Private","ROBERT A. JOHNSON","14.5","154","Recreation","Recreation","-","NASHOBA BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.41497112","42.47815864"
"","BROOKSIDE MILL DAM","FERC P-2801","MA00131","05/31/2012","Private","TRUSTEES OF THE BROOKSIDE CONDOMINIUM TRUST","15","18.3","Other","Other","Masonry","STONY BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.41100633","42.60961049"
"","FEDERAL POND DAM","FERC P-2801","MA00268","-","Private","-","10","718","-","-","-","TRIBUTARY OF CRANE BROOK","-","0","-","MA","MA09","William R. Keating (D)","N","N","N","-","-70.70597475","41.87165526"
"","SOUTH VILLAGE POND DAM","FERC P-2801","MA00107","09/03/2006","Private","FRENCH RIVER LAND CO., INC.","18","120","Other","Recreation, Other","-","FRENCH RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","02/26/2007","-71.88049629","42.05524434"
"","GALES POND DAM","FERC P-2801","MA00055","-","Private","DAVID AND EMILY KOESTER","18","123.9","Other","Other","-","GALES BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.31351644","42.66686252"
"","BALLARDVALE DAM","FERC P-2801","MA00154","07/31/2012","Private","SHAWSHEEN RUBBER CO., INC.","14","290","Recreation","Recreation","Masonry","SHAWSHEEN RIVER","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.15755599","42.62713597"
"","BABSON RESERVOIR DAM","FERC P-2801","MA00187","10/01/2013","Local Government","CITY OF GLOUCESTER, DEPARTMENT OF PUBLIC WORKS","40","925","Water Supply","Water Supply","Earth","TRIBUTARY OF MILL RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","06/01/2007","-70.66777996","42.62585571"
"","WHEELER POND DAM","FERC P-2801","MA00077","11/18/2014","Local Government","TOWN OF BRIMFIELD, BOARD OF SELECTMEN","17.2","774","Recreation","Recreation","-","HOLLOW BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.20987","42.11772"
"","COOKSON POND","FERC P-2801","MA00254","-","Private","NORFOLK ROAD NOMINEE REAL ESTATE TRUST","24","805.2","Recreation","Recreation","Earth","TRIBUTARY OF WHITING RIVER","CANAAN VALLEY, CT","-","BERKSHIRE","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.22380999","42.05165758"
"","WASHINGTON MT. LAKE DIKE","FERC P-2801","MA00319","-","State","DCR - DEPT. OF CONSERVATION & RECREATION","20","4575","-","-","-","TRIBUTARY OF WASHINGTON MT BR","-","0","-","MA","MA01","Richard E. Neal (D)","N","N","N","-","-73.1899497","42.35248289"
"","THREEMILE POND","BEAVERKILL","MA00042","05/21/2015","State","DFG - DEPT. OF FISH AND GAME","17","1240","Recreation","Recreation","Earth","IRONWORK BROOK","SHEFFIELD, MA","-","BERKSHIRE","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.30805","42.13545"
"","MCLEOD POND DAM","FERC P-2801","MA00046","12/17/2010","State","DCR - DEPT. OF CONSERVATION & RECREATION","11","270","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Concrete","MEADOW BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.74652422","42.647786"
"","GASTON POND DAM","FERC P-2801","MA00095","05/02/2015","Private","UNKNOWN","12","82","Other","Other","Earth","RUTLAND BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.13105532","42.4588128"
"","PUTNAM POND DAM","FERC P-2801","MA00102","04/08/2010","Private","THE BARTON CENTER FOR DIABETES EDUCATION, INC.","11.5","120","Recreation","Recreation","Earth","TRIBUTARY OF LITTLE RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-71.92864217","42.133824"
"","PERRYVILLE POND DAM","FERC P-2801","MA00216","04/03/2013","Local Government","TOWN OF DUDLEY, BOARD OF SELECTMEN","13","150","Recreation","Recreation","-","FRENCH RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.884387","42.024998"
"","LAKE GARFIELD DAM","FERC P-2801","MA00249","06/24/2015","Local Government","TOWN OF MONTEREY, DEPARTMENT OF PUBLIC WORKS","20","3600","Recreation","Recreation","Earth","KONKAPOT RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","12/07/2012","-73.20921885","42.19020514"
"","EMERSON BROOK DAM","FERC P-2801","MA00273","04/03/2008","Local Government","TOWN OF DANVERS, BOARD OF SELECTMEN","12","1412","Water Supply","Water Supply","Concrete","EMERSON BROOK","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-71.034253","42.603409"
"","WINDEMERE LAKE DAM","FERC P-2801","MA00257","07/14/2009","Private","WINDEMERE LAKE CORPORATION","40","1436","Recreation","Recreation","Earth","TRIBUTARY OF WHITING RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.19331714","42.07406183"
"","PLANTAIN POND DAM","FERC P-2801","MA00252","12/06/2011","Private","THE NATURE CONSERVANCY","15","500","Recreation","Recreation","-","BEAR ROCK STREAM","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.43892872","42.06674765"
"","TROUT POND DAM","FERC P-2801","MA00324","-","Local Government","THE METROPOLITAN DISTRICT - STATE OF CT","11","246.56","Recreation","Recreation","-","POND BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.999249","42.10056"
"","CONGAMOND LAKE OUTLET - MIDDLE POND","FERC P-2801","MA00071","-","Local Government","TOWN OF SOUTHWICK, DEPARTMENT OF PUBLIC WORKS","9","5105","-","-","-","GREAT BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","N","N","N","-","-72.76906545","42.02085161"
"","COES RESERVOIR DAM","FERC P-2801","MA00120","11/13/2014","Local Government","CITY OF WORCESTER, DEPARTMENT OF PUBLIC WORKS & PARKS","21","1223","Recreation","Recreation","Earth","TATNUCK BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","09/01/2007","-71.8374","42.2508"
"","STEVENS POND OUTLET DAM","FERC P-2801","MA00232","09/07/2006","Local Government","CITY OF LAWRENCE, OFFICE OF THE MAYOR","19","112","Other","Other","Stone","SPICKET RIVER","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","12/01/2006","-71.17858985","42.71480537"
"","CENTER POND DAM","FERC P-2801","MA00209","06/20/2013","Private","CENTER POND RESTORATION AND PROTECTION DISTRICT","9","625","Recreation","Recreation","Earth","TRIBUTARY OF WEST BRANCH WESTFIELD RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.06828534","42.30489961"
"","FORGE POND DAM","FERC P-2801","MA00429","11/30/2006","Local Government","TOWN OF HANOVER, DEPARTMENT OF PUBLIC WORKS","9","190","Water Supply","Water Supply","Other","DRINKWATER RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.87794356","42.10370722"
"","CRANBERRY BOG DAM NO 1","FERC P-2801","MA00773","-","Local Government","TOWN OF CARLISLE, BOARD OF SELECTMEN","12","285","Irrigation","Irrigation","-","TRIBUTARY OF RIVER MEADOW BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.36860189","42.55522145"
"","PATRILL HOLLOW POND DAM","FERC P-2801","MA00618","12/11/2009","State","DFG - DEPT. OF FISH AND GAME","13.02","96","Other","Other","Earth","-","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.2309974","42.34026096"
"","ALDER POND DAM","FERC P-2801","MA00498","06/02/1975","Private","SEARLE IRREVOCABLE REALTY TRUST","12","163","Recreation","Recreation","-","ALDER MEADOW BROOK","SOUTHAMPTON","-","HAMPSHIRE","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.75990223","42.21613494"
"","WHITES POND DAM","FERC P-2801","MA00504","10/16/2015","Private","BENJAMIN HOLMES & ELIZABETH DAVENPORT","10","123.8","Recreation","Recreation","Earth","TRIBUTARY OF WEST BRANCH TULLY RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.26717689","42.63834088"
"","MT. HOLYOKE COLLEGE UPPER POND DAM","FERC P-2801","MA00583","08/27/2014","Private","MOUNT HOLYOKE COLLEGE","20","120","Recreation","Recreation","-","STONY BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","06/30/2015","-72.57104405","42.25829432"
"","CLEAR POND DAM","FERC P-2801","MA00540","08/14/2009","Local Government","CITY OF HOLYOKE, WATER WORKS","22","195","Other","Other","Masonry","TRIBUTARY OF PAUCATUCK BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.659319","42.183513"
"","SOUTH DEERFIELD WATER SUPPLY DAM","FERC P-2801","MA00522","10/06/2011","Local Government","SOUTH DEERFIELD WATER SUPPLY DISTRICT","30","32.1","Water Supply","Water Supply","-","ROARING BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.65345558","42.46696174"
"","AMES POND DAM","FERC P-2801","MA00347","06/20/2012","State","DCR - DEPT. OF CONSERVATION & RECREATION","15","800","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","SOUTH RIVER","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-70.978563","42.114308"
"","UPPER MYSTIC LAKE DAM","FERC P-2801","MA00769","06/28/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","16","2800","Flood Control","Flood Control, Recreation, Fish and Wildlife Pond","Earth","MYSTIC RIVER, D/S OF ABERJONA RIVER","-","0","-","MA","MA05","Katherine M. Clark (D)","Y","Y","Y","06/01/2008","-71.148487","42.430721"
