"Link","Dam Name","Other Dam Name","NIDID","Inspection Date","Owner Type","Owner Name","NID Height (Ft.)","NID Storage","Primary Purpose","All Purposes","Dam Type","River","City","Distance","County","State","Congressional District","Congressional Rep.","Permitting Authority","Inspection Authority","Enforcement Authority","Eap Last Rev Date","Lat","Lon"
"","SUMMIT POND DAM","FERC P-2801","MA02894","08/24/2012","Private","GLORIA WALSH","10","102","Recreation","Recreation","Earth","DARK BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.76697","42.1273"
"","PUD'S POND DAM","-","MA03038","06/28/2006","State","DCR - DEPT. OF CONSERVATION & RECREATION","12","480","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","TRIBUTARY OF POQUANTICUT BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.147652","42.069633"
"","VORCES POND DAM","FERC P-2801","MA02331","06/01/2011","Local Government","TOWN OF ORANGE, BOARD OF SELECTMEN","11.5","22.5","Other","Other","Earth","N/A","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-72.33015","42.570504"
"","WATSON ROAD DAM","FERC P-2801","MA01060","08/19/2009","Private","KIM WENDLING","9","81","Recreation","Recreation","Earth","TRIBUTARY OF EAST BRANCH HOUSATONIC","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.116163","42.449359"
"","DEARTH HILL ROAD DAM","FERC P-2801","MA02528","09/18/2006","State","DCR - DEPT. OF CONSERVATION & RECREATION","11","53","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","-","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.24898848","42.10865187"
"","ROCKY POND DAM","FERC P-2801","MA01231","-","Private","GERALD S. & FRANCESCA BANG GLEICH","8","247.2","Recreation","Recreation","-","COLD BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.692833","42.343957"
"","WATSON POND","FERC P-2801","MA00284","06/09/2006","Private","WATSON POND ASSOCIATION, INC.","8","370","Recreation","Recreation","Earth","TRIBUTARY OF FARMINGTON RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.04531694","42.22272564"
"","CHESHIRE RESERVOIR DAM","FERC P-2801","MA00211","11/07/2011","State","DCR - DEPT. OF CONSERVATION & RECREATION","14","3989","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","HOOSIC RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-73.165361","42.553736"
"","HURLBUT DAM","FERC P-2801","MA00262","09/19/2011","Private","ONYX SPECIALY PAPERS, INC.","12","50","Other","Other","-","HOUSATONIC RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","12/01/2011","-73.28470068","42.27605923"
"","BRIERLY POND DAM","FERC P-2801","MA00143","03/24/2009","Local Government","TOWN OF MILLBURY, BOARD OF SELECTMEN","10","132","Recreation","Recreation","Earth","SINGLETARY BROOK (TRIBUTARY TO BLACKSTONE RIVER)","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.774403","42.177672"
"","ECLIPSE DAM","FERC P-2801","MA00279","04/24/2015","Local Government","CITY OF NORTH ADAMS","51.5","142","Other","Other","-","N. BRANCH HOOSIC RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","06/30/2014","-73.097263","42.702733"
"","TIHONET POND #1 DAM","-","MA00029","12/13/2011","Private","A.D. MAKEPEACE COMPANY","16","980","Irrigation","Irrigation","Earth","WANKINCO RIVER","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.7125052","41.78904919"
"","ASHMERE LAKE DAM","FERC P-2801","MA00223","04/22/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","33.7","4730","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","BENNTT BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","12/31/2013","-73.08050955","42.43668572"
"","DARK BROOK RESERVOIR DAM","FERC P-2801","MA00198","10/28/2014","Local Government","AUBURN WATER DISTRICT","17","4110","Recreation","Recreation","Earth","DARK BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","06/01/2007","-71.85475575","42.19835689"
"","ERIKSON DAM","FERC P-2801","MA00195","09/27/2012","Private","ERIKSON GRAIN MILL, INC.","17","198","Recreation","Recreation","Masonry","FORT POND BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","-","-71.45433","42.459369"
"","FINERTY POND DAM","FERC P-2801","MA00317","-","State","DCR - DEPT. OF CONSERVATION & RECREATION","6.5","94.4","-","-","-","WASHINGTON MT. BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","N","N","N","-","-73.16316","42.31485"
"","FRENCH POND DAM","FERC P-2801","MA00173","06/18/2013","Private","WAYNE E. BENSON, JR.","12","45","Recreation","Recreation","Earth","DORCHESTER (MEADOW) BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.080912","42.087185"
"","LILY POND OUTLET DAM","FERC P-2801","MA00157","05/07/2012","Local Government","CITY OF GLOUCESTER, DEPARTMENT OF PUBLIC WORKS","8","300","Fish and Wildlife Pond","Fish and Wildlife Pond","Earth","LILY RIVER","-","0","-","MA","MA06","Seth Moulton (D)","Y","Y","Y","-","-70.71348","42.60617"
"","RISING PAPER COMPANY DAM","FERC P-2801","MA00250","11/12/2014","Private","GENERAL ELECTRIC COMPANY","40","710","Water Supply","Water Supply","Earth","HOUSATONIC RIVER","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","06/19/2015","-73.35774369","42.24236094"
"","HOLDEN RESERVOIR DAM #1","FERC P-2801","MA00960","09/16/2015","Local Government","CITY OF WORCESTER, DEPARTMENT OF PUBLIC WORKS & PARKS","46","3200","Water Supply","Water Supply","Earth","TATNUCK BROOK","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","06/01/2007","-71.8729","42.3054"
"","BURRAGE POND DAM (UPPER RESERVOIR)","FERC P-2801","MA00477","06/20/2011","State","DFG - DEPT. OF FISH AND GAME","10","2618","Irrigation","Irrigation","Earth","TRIBUTARY OF STUMP BROOK","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.8742","42.018375"
"","STUMP POND DAM","FERC P-2801","MA00671","07/14/2014","Private","SINGLETARY ROD AND GUN CLUB, INC.","8","100","Recreation","Recreation","Earth","TRIBUTARY OF MUMFORD RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.8095998","42.11404556"
"","WALDO LAKE DAM","FERC P-2801","MA00426","06/14/2013","Local Government","CITY OF BROCKTON, OFFICE OF THE MAYOR","17.5","750","Recreation","Recreation","-","SALISBURY BROOK AND SALISBURY PLAIN RIVER","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","09/09/2009","-71.047788","42.105552"
"","STANDISH MILL POND DAM","FERC P-2801","MA00909","12/20/2010","Local Government","TOWN OF PLYMOUTH, BOARD OF SELECTMEN","16","6","Flood Control","Flood Control, Recreation","-","TOWN BROOK","-","0","-","MA","MA09","William R. Keating (D)","Y","Y","Y","-","-70.67372173","41.94658355"
"","GRANVILLE RESERVOIR DAM","FERC P-2801","MA00707","12/16/2014","Local Government","CITY OF WESTFIELD, WATER RESOURCES DEPARTMENT","85","2400","Water Supply","Water Supply","Earth","HOLLISTER BROOK & TILLOTSON BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","10/01/2013","-72.84775388","42.08763952"
"","LOWER PORTER POND DAM","FERC P-2801","MA00424","02/20/2012","Local Government","CITY OF BROCKTON, OFFICE OF THE MAYOR","9.2","50","Recreation","Recreation","Earth","BEAVER BROOK","-","0","-","MA","MA08","Stephen F. Lynch (D)","Y","Y","Y","-","-71.04348219","42.09873571"
"","LOVELL RESERVOIR DAM","FERC P-2801","MA00872","11/13/2014","Local Government","CITY OF FITCHBURG, DIVISION OF WATER SUPPLY","84","1131","Water Supply","Water Supply","Earth","FALULAH BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","10/31/2012","-71.819497","42.615789"
"","TANNERY POND","-","MA00854","08/19/2014","Private","FRENCH RIVER LAND COMPANY, INC.","10","51","Hydroelectric","Hydroelectric","-","MILLERS RIVER","WINCHENDON","0","WORCESTER","MA","MA03","Niki Tsongas (D)","N","N","N","02/22/2010","-72.0538","42.6804"
"","FISKE MILL POND DAM","FERC P-2801","MA00626","-","Private","FIRST AMERICAN REALTY, INC.","15","75","Water Supply","Water Supply","-","MILL RIVER","-","0","-","MA","MA02","James P. McGovern (D)","Y","Y","Y","-","-71.56421049","42.16616585"
"","FORGE POND DAM","FERC P-2801","MA00800","-","Private","-","8","144","-","-","-","ASSONET RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","N","N","N","-","-71.05207874","41.80243756"
"","PHELON POND DAM","FERC P-2801","MA00705","-","Private","THOMAS JOHN","18","50","Recreation","Recreation","-","EXIT BROOK","-","0","-","MA","MA01","Richard E. Neal (D)","Y","Y","Y","-","-72.90531219","42.10694046"
"","BIG BEARHOLE POND DAM","FERC P-2801","MA00764","11/18/2014","State","DCR - DEPT. OF CONSERVATION & RECREATION","17.5","370","Fish and Wildlife Pond","Recreation, Fish and Wildlife Pond","Earth","THOMPSON BROOK","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","06/01/2013","-70.98806755","41.86541941"
"","MCTAGGARTS POND DAM","FERC P-2801","MA00879","02/27/2012","Local Government","CITY OF FITCHBURG, OFFICE OF THE MAYOR","16","61","Recreation","Recreation","-","PHILLIPS BROOK","-","0","-","MA","MA03","Niki Tsongas (D)","Y","Y","Y","03/30/2007","-71.8417107","42.57953188"
"","SWANSEA RESERVOIR DAM","FERC P-2801","MA00796","07/31/2015","Local Government","BRISTOL COUNTY WATER AUTHORITY","13","460","Recreation","Water Supply, Recreation","-","KICKAMUIT RIVER","-","0","-","MA","MA04","Joseph P. Kennedy III (D)","Y","Y","Y","-","-71.232817","41.765477"
